Date,Open,High,Low,Close
"2013-07-24 01:00:00",86.94,87.62,86.49,87.46
"2013-07-26 01:00:00",89.41,91.67,88.76,90.63
"2013-07-28 01:00:00",89.1,92.87,88.2,92.1
"2013-07-30 01:00:00",93.3,97.06,92.14,96.31
"2013-08-01 01:00:00",97.92,98.53,96.32,96.42
"2013-08-03 01:00:00",97.24,97.45,95.64,96.66
"2013-08-05 01:00:00",96.6,98.24,96.07,96.92
"2013-08-07 01:00:00",97.13,98.15,96.29,96.92
"2013-08-09 01:00:00",94.78,95.46,92.46,93.36
"2013-08-11 01:00:00",93.29,94.42,93.14,94.16
"2013-08-13 01:00:00",95.09,97.99,94.64,97.9
"2013-08-15 01:00:00",97.96,99.79,97.5,97.55
"2013-08-17 01:00:00",98.33,99.69,97.63,99.57
"2013-08-19 01:00:00",98.85,104.01,98.75,102.3
"2013-08-21 01:00:00",105.01,112.54,104,111.45
"2013-08-23 01:00:00",109.73,109.91,106.04,107.55
"2013-08-25 01:00:00",108.69,112.47,108.56,111.8
"2013-08-27 01:00:00",112.23,118.07,111.77,117.45
"2013-08-29 01:00:00",117.59,117.92,116.57,117.52
"2013-08-31 01:00:00",123.23,130.15,122.2,129.46
"2013-09-02 01:00:00",128.26,130.59,126.76,127.36
"2013-09-04 01:00:00",127.59,127.76,115.58,120.57
"2013-09-06 01:00:00",120.53,122.22,115.75,116.32
"2013-09-08 01:00:00",119.05,119.86,116.6,116.6
"2013-09-10 01:00:00",120.02,123.81,119.99,121.46
"2013-09-12 01:00:00",125.45,127.92,124.12,125.76
"2013-09-14 01:00:00",126.51,126.9,123.29,124.08
"2013-09-16 01:00:00",124.58,125.74,124.18,125.06
"2013-09-18 01:00:00",125.97,128.06,125.63,126.3
"2013-09-20 01:00:00",124.19,124.93,122.6,122.9
"2013-09-22 01:00:00",122.64,123.11,121.96,122.65
"2013-09-24 01:00:00",122.22,122.93,121.37,122.54
"2013-09-26 01:00:00",123.42,124.08,122.34,123.48
"2013-09-28 01:00:00",123.5,124.91,122.1,124.75
"2013-09-30 01:00:00",125.18,125.18,120.7,123.1
"2013-10-02 01:00:00",125.49,125.76,82,99.81
"2013-10-04 01:00:00",116.82,123.63,116.65,121.29
"2013-10-06 01:00:00",121.14,121.77,120.43,121.68
"2013-10-08 01:00:00",123.25,124.78,122.55,124.32
"2013-10-10 01:00:00",125.84,126.44,124.11,125.7
"2013-10-12 01:00:00",125.51,126.57,124.75,126.52
"2013-10-14 01:00:00",130.42,136.64,128.8,133.04
"2013-10-16 01:00:00",138.64,146.68,136.32,137.42
"2013-10-18 01:00:00",142.74,149.99,141.9,149.59
"2013-10-20 01:00:00",159.81,163.8,159.18,163.06
"2013-10-22 01:00:00",174.18,186.64,170.28,183.86
"2013-10-24 01:00:00",200.62,202.34,157.71,183.15
"2013-10-26 01:00:00",178.12,182.07,174.02,175.9
"2013-10-28 00:00:00",185.69,188.19,183.75,187.87
"2013-10-30 00:00:00",198.19,198.79,192.83,194.55
"2013-11-01 00:00:00",198.23,198.92,195.48,198.51
"2013-11-03 00:00:00",200.85,207.76,198.94,207.63
"2013-11-05 00:00:00",225.2,246.78,221.85,239.29
"2013-11-07 00:00:00",253.69,292.71,253.69,283.3
"2013-11-09 00:00:00",323.77,355.23,303.29,336.14
"2013-11-11 00:00:00",311.9,339.48,303.51,332.63
"2013-11-13 00:00:00",349.34,399.47,349.34,393.28
"2013-11-15 00:00:00",410.72,427.9,386.57,409.17
"2013-11-17 00:00:00",428.82,482.98,428.54,476.3
"2013-11-19 00:00:00",674.38,781.83,394.91,541.83
"2013-11-21 00:00:00",572.67,705.5,560.35,695.87
"2013-11-23 00:00:00",747.48,823.42,699,776.7
"2013-11-25 00:00:00",751.38,788.3,725.48,778.68
"2013-11-27 00:00:00",899.2,962,866.84,948.41
"2013-11-29 00:00:00",1037.76,1128.32,1000.58,1120.4
"2013-12-01 00:00:00",1124.76,1128.88,783.69,946.92
"2013-12-03 00:00:00",1038.35,1092.83,1002.86,1068.67
"2013-12-05 00:00:00",1147.25,1149.74,870.38,1042.03
"2013-12-07 00:00:00",834.03,863.13,558.08,694.47
"2013-12-09 00:00:00",795.4,925.27,779.73,898.02
"2013-12-11 00:00:00",990,1001.81,832.23,883.26
"2013-12-13 00:00:00",875.75,933.17,859.45,898.21
"2013-12-15 00:00:00",867.5,886.24,819.44,879.47
"2013-12-17 00:00:00",712.51,757.02,636.15,683.84
"2013-12-19 00:00:00",522.23,710.33,504.13,698.45
"2013-12-21 00:00:00",622.84,657.71,580.73,608.96
"2013-12-23 00:00:00",617.82,683.74,613.45,673.17
"2013-12-25 00:00:00",667.62,687.36,651.53,687.36
"2013-12-27 00:00:00",765.21,780.77,723.99,746.72
"2013-12-29 00:00:00",730.47,753.82,713.75,745.07
"2013-12-31 00:00:00",754.76,759.72,733.19,757.5
"2014-01-02 00:00:00",770.44,826.64,768.15,808.05
"2014-01-04 00:00:00",830.02,861.15,808.82,858.98
"2014-01-06 00:00:00",940.1,1023.31,914.77,951.39
"2014-01-08 00:00:00",810.58,886.05,788.94,859.95
"2014-01-10 00:00:00",860.9,888.87,837.88,884.67
"2014-01-12 00:00:00",930.91,940.75,860.02,873.26
"2014-01-14 00:00:00",857.96,875.08,839.18,851.83
"2014-01-16 00:00:00",874.71,893.75,847.37,847.37
"2014-01-18 00:00:00",828.22,850.6,828.22,843.76
"2014-01-20 00:00:00",878.68,897.56,858.11,871.05
"2014-01-22 00:00:00",874.29,884.5,854.35,863.95
"2014-01-24 00:00:00",854.35,862.21,785.01,825.12
"2014-01-26 00:00:00",861.85,899.36,851.75,880.15
"2014-01-28 00:00:00",814.53,879.1,784.08,833.94
"2014-01-30 00:00:00",837.51,875.27,816.36,845.85
"2014-02-01 00:00:00",848.29,874.37,843.35,853.02
"2014-02-03 00:00:00",854.38,874.68,843.86,846.9
"2014-02-05 00:00:00",842.01,864.59,819.85,820.87
"2014-02-07 00:00:00",783.62,784.85,658.87,703.57
"2014-02-09 00:00:00",676.91,708.79,657.94,681.94
"2014-02-10 00:00:00",681.94,684.09,680.9,683.7
"2014-02-10 00:15:00",683.7,684.46,682.32,685.32
"2014-02-10 00:30:00",685.32,692.84,685.32,693.3
"2014-02-10 00:45:00",693.3,697.28,693.3,696.55
"2014-02-10 01:00:00",696.55,696.55,694.15,694.16
"2014-02-10 01:15:00",694.16,694.95,692.47,693.33
"2014-02-10 01:30:00",693.33,695.48,693.33,694.57
"2014-02-10 01:45:00",694.57,695.12,693.77,694.66
"2014-02-10 02:00:00",694.66,701.7,694.66,700.6
"2014-02-10 02:15:00",700.6,704.39,693.35,702.89
"2014-02-10 02:30:00",702.89,704.65,702.68,702.85
"2014-02-10 02:45:00",702.85,703.86,700.06,701.43
"2014-02-10 03:00:00",701.43,704.4,701.43,701.99
"2014-02-10 03:15:00",701.99,703.11,700.36,703.5
"2014-02-10 03:30:00",703.5,704.42,700.88,700.63
"2014-02-10 03:45:00",700.63,700.82,698.51,700.57
"2014-02-10 04:00:00",700.57,700.57,698.46,698.08
"2014-02-10 04:15:00",698.08,699.5,697.22,699.77
"2014-02-10 04:30:00",699.77,702.48,699.32,701.12
"2014-02-10 04:45:00",701.12,701.12,696.73,696.72
"2014-02-10 05:00:00",696.72,698.1,692.28,693.32
"2014-02-10 05:15:00",693.32,693.32,690.5,690.96
"2014-02-10 05:30:00",690.96,693.1,688.25,688.32
"2014-02-10 05:45:00",688.32,692.37,688.32,697.39
"2014-02-10 06:00:00",697.39,699.26,695.62,698.49
"2014-02-10 06:15:00",698.49,700.38,696.91,701.25
"2014-02-10 06:30:00",701.25,701.25,698.03,700.03
"2014-02-10 06:45:00",700.03,700.03,697.44,697.53
"2014-02-10 07:00:00",697.53,700.54,695.82,697.34
"2014-02-10 07:15:00",697.34,698.15,695.56,696.8
